trackid,track_name,track_artists,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
58VNpcJpI5dEKxYByCkbXc,Miss Summer,['ODIE'],0.589,0.527,-9.962,0.0342,0.599,0.000111,0.0853,0.132,133.981
6G3t9WroSJiK5S66umOfIA,Weekend,"['Mufasa & Hypeman', 'Dopamine']",0.761,0.939,-3.34,0.0729,0.0594,0.00158,0.0843,0.88,119.981
1BJWay8HsY5Tz8L28itkCk,Anti-Hero,['Taylor Swift'],0.639,0.628,-6.606,0.0525,0.12,1.07e-06,0.191,0.506,96.982
78HpdJlNoppURkMmE0dogS,Sweet Symphony (with Chris Stapleton),['Joy Oladokun'],0.396,0.278,-9.526,0.05,0.796,6.92e-06,0.115,0.155,169.93
2BGyfq5k9xGO9019bUsYFk,jordan,['Joy Oladokun'],0.347,0.315,-9.792,0.0337,0.545,3.53e-06,0.0966,0.171,96.079
42UaitnwvuKqNcD5Oa2HlD,Thinking 'Bout Love,['Wild Rivers'],0.733,0.324,-8.122,0.033,0.479,0,0.067,0.388,141.8
14dJexYlvd3t3XAtD1pYW1,Oh Caroline,['The 1975'],0.646,0.85,-5.466,0.0428,0.363,4.01e-05,0.0994,0.819,96.538
2fGRJzoiYJYAzlQAyBONMb,Morning Sex,['Ralph Castelli'],0.81,0.353,-9.536,0.0437,0.0473,0.000104,0.082,0.731,124.991
7neXef29cogkuASB5rTafo,Bends,['Ralph Castelli'],0.598,0.466,-11.611,0.214,0.0584,0.0401,0.431,0.572,89.621
4kTkoT7mNXTJ21WwFTIDxA,Hookers,['Tierra Whack'],0.702,0.499,-6.828,0.149,0.692,3.3e-06,0.16,0.228,167.079
5Gnx5bNAglWcclJkuJnrys,Flea Market,['Tierra Whack'],0.756,0.358,-6.297,0.0588,0.829,1.62e-05,0.131,0.509,110.093
1G9hDB1bmxz131N9svQ8pY,Satellite,['Khalid'],0.741,0.73,-7.07,0.0349,0.0279,0.000264,0.0851,0.725,124.001
3IzBeYT0GyvpPMTlppy5qr,mmadu,['CKay'],0.616,0.529,-6.62,0.102,0.389,0.35,0.102,0.714,93.808
3FUlqltjiMMJdyEPaYAUqK,What A Night,['Flo Rida'],0.727,0.876,-3.175,0.258,0.173,0,0.167,0.963,99.992
0uBdQzKghx88d2Lp8SLFKJ,I'm In Love With You,['The 1975'],0.668,0.902,-3.924,0.0386,0.169,8.74e-05,0.198,0.913,119.008
10wk4XQdba4QpHgFb28Ktk,drivers license - Spotify Singles,['Lewis Capaldi'],0.543,0.23,-12.532,0.0417,0.845,0,0.11,0.307,127.357
