trackid,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
0cgy8EueqwMuYzOZrW5vPB,0.888,0.778,-3.671,0.0945,0.0566,0,0.0653,0.774,142.128,Pop
58VNpcJpI5dEKxYByCkbXc,0.589,0.527,-9.962,0.0342,0.599,0.000111,0.0853,0.132,133.981,Alternative
6G3t9WroSJiK5S66umOfIA,0.761,0.939,-3.34,0.0729,0.0594,0.00158,0.0843,0.88,119.981,Pop
1BJWay8HsY5Tz8L28itkCk,0.639,0.628,-6.606,0.0525,0.12,1.07e-06,0.191,0.506,96.982,Alternative
78HpdJlNoppURkMmE0dogS,0.396,0.278,-9.526,0.05,0.796,6.92e-06,0.115,0.155,169.93,Pop
2BGyfq5k9xGO9019bUsYFk,0.347,0.315,-9.792,0.0337,0.545,3.53e-06,0.0966,0.171,96.079,Alternative
42UaitnwvuKqNcD5Oa2HlD,0.733,0.324,-8.122,0.033,0.479,0,0.067,0.388,141.8,Alternative
14dJexYlvd3t3XAtD1pYW1,0.646,0.85,-5.466,0.0428,0.363,4.01e-05,0.0994,0.819,96.538,Pop
2fGRJzoiYJYAzlQAyBONMb,0.81,0.353,-9.536,0.0437,0.0473,0.000104,0.082,0.731,124.991,Pop
7neXef29cogkuASB5rTafo,0.598,0.466,-11.611,0.214,0.0584,0.0401,0.431,0.572,89.621,Rap/Hip Hop
4kTkoT7mNXTJ21WwFTIDxA,0.702,0.499,-6.828,0.149,0.692,3.3e-06,0.16,0.228,167.079,Pop
5Gnx5bNAglWcclJkuJnrys,0.756,0.358,-6.297,0.0588,0.829,1.62e-05,0.131,0.509,110.093,Pop
1G9hDB1bmxz131N9svQ8pY,0.741,0.73,-7.07,0.0349,0.0279,0.000264,0.0851,0.725,124.001,Pop
3IzBeYT0GyvpPMTlppy5qr,0.616,0.529,-6.62,0.102,0.389,0.35,0.102,0.714,93.808,Alternative
3FUlqltjiMMJdyEPaYAUqK,0.727,0.876,-3.175,0.258,0.173,0,0.167,0.963,99.992,Alternative
0uBdQzKghx88d2Lp8SLFKJ,0.668,0.902,-3.924,0.0386,0.169,8.74e-05,0.198,0.913,119.008,Electro
10wk4XQdba4QpHgFb28Ktk,0.543,0.23,-12.532,0.0417,0.845,0,0.11,0.307,127.357,Alternative
1tm7c4V0kqLiN0XPVnoUcT,0.686,0.621,-7.243,0.187,0.0656,0.000221,0.139,0.187,112.082,Rap/Hip Hop
5U5QLfYdaDd6frf5I70Xqs,0.81,0.786,-4.833,0.0485,0.000312,0,0.23,0.642,111.056,Rap/Hip Hop
342xhiMfFuR0zXbG35VIjy,0.674,0.667,-7.212,0.3,0.0677,3.67e-06,0.125,0.715,110.004,Pop
0zYkf4pCiGAhEp5Z3iUkml,0.745,0.647,-9.494,0.119,0.175,0.000309,0.0529,0.395,144.014,Pop
6LXIhiXK8z1KLd3giR904b,0.602,0.565,-6.498,0.0498,0.329,0,0.0622,0.609,208.038,Pop
72yP0DUlWPyH8P7IoxskwN,0.667,0.75,-4.602,0.0906,0.0746,0.000198,0.197,0.486,126.041,Alternative
6X6fJzF0BGbUk6mhqNvgZZ,0.561,0.299,-11.392,0.0315,0.837,0.000143,0.357,0.107,123.92,Pop
7n5LJO27QLW54MmCU8ok2e,0.754,0.448,-9.52,0.0385,0.639,7.03e-05,0.315,0.191,120.115,Rap/Hip Hop
06rX4GEEjsVTSbRBWycs2U,0.555,0.35,-10.955,0.0503,0.791,6.64e-06,0.11,0.404,77.772,Rap/Hip Hop
0pdKRp2sUthTPe7RLWpPqQ,0.713,0.452,-9.638,0.0295,0.841,0.0038,0.105,0.235,102.963,Rap/Hip Hop
754kgU5rWscRTfvlsuEwFp,0.526,0.749,-6.964,0.0283,0.023,1.76e-06,0.0692,0.421,99.982,Rap/Hip Hop
0eLXdwrMjL7kHzpob9zXli,0.628,0.912,-4.785,0.0356,0.0067,0.00646,0.136,0.746,139.98,Pop
5W8jRrZ6tWrTrqnKRtIQBf,0.861,0.656,-7.867,0.425,0.104,0,0.0986,0.331,88.967,Rap/Hip Hop
79dt40lQLm46E1WPVYLvTO,0.671,0.746,-3.769,0.0508,0.371,5.69e-06,0.159,0.71,75.469,Electro
34Tmk8gwlRRegVVZDRxXxk,0.67,0.895,-5.294,0.0352,0.0943,0.0322,0.305,0.897,118.002,Rap/Hip Hop
5HH4smD2ZGTGx0H7rHTutW,0.759,0.66,-6.44,0.0543,0.117,5.42e-05,0.103,0.715,87.965,Alternative
27sBcXtgTBSJRdUxei1a7J,0.766,0.539,-4.927,0.0479,0.402,0,0.104,0.888,120.175,Electro
1ifDCTBUJPTLBXEezngbvr,0.419,0.845,-6.116,0.12,0.017,0.016,0.191,0.536,164.193,Pop
6bvpSJz2NhP3ZtfBiJBqlL,0.777,0.452,-9.834,0.121,0.294,0,0.115,0.358,120.038,Alternative
1xzi1Jcr7mEi9K2RfzLOqS,0.78,0.689,-5.668,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,Rock
5pyoxDZ1PX0KxBxiRVxA4U,0.693,0.887,-5.039,0.0795,0.0581,2.71e-06,0.27,0.864,114.942,Alternative
5YbPxJwPfrj7uswNwoF1pJ,0.795,0.565,-4.457,0.0948,0.131,0,0.0802,0.55,87.925,Pop
0ZAbupc7jAQpG9IxojQ3s3,0.822,0.362,-7.462,0.0411,0.16,0,0.313,0.159,119.903,Pop
