trackid,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,label,genre
6h6kxZbz8sDMvReCJUsqXY,0.639,0.845,-2.934,0.0928,0.0284,0.0,0.158,0.339,127.956,electronic dance music,Electro
4bexBBVzBJOnXBFeS1CxUD,0.725,0.936,-5.908,0.0433,0.00256,0.0693,0.0881,0.971,121.997,electronic dance music,Pop
7zc2gXByxEFA6qPBygpv5c,0.487,0.821,-3.49,0.0615,0.459,0.0,0.132,0.435,121.471,electronic dance music,Dance
0Y2QWrhPh6ATyaWYT0QLIR,0.52,0.835,-7.775,0.0544,0.278,0.863,0.0711,0.373,127.955,electronic dance music,Christian
2IX9rTOZFc4OgPph0LuubR,0.82,0.739,-6.374,0.039,0.069,0.000121,0.0934,0.621,124.988,electronic dance music,Electro
1uLpTju4VXbvzmCIZLFCGi,0.66,0.699,-3.476,0.0399,0.0442,0.0,0.535,0.216,128.022,electronic dance music,Dance
0CGS5TGqzMQXlJ5PXRY2DN,0.817,0.963,-4.898,0.107,0.141,1.3e-06,0.128,0.414,109.963,electronic dance music,Dance
6ioF5JQREw0LPPTW9czakA,0.738,0.749,-6.009,0.0702,0.0241,1.52e-05,0.115,0.0738,125.023,electronic dance music,Electro
0mtJew7Mo12DLgGAe61AOU,0.807,0.348,-28.906,0.0769,0.145,0.952,0.0976,0.776,123.612,electronic dance music,Dance
5WokFKscrfGEGGLPTu3jgO,0.702,0.744,-4.063,0.0861,0.469,0.0,0.0915,0.305,77.486,electronic dance music,Dance
3McFoGzAMw63UDlS79C2RU,0.64,0.591,-3.905,0.0344,0.126,6.45e-06,0.159,0.304,128.004,electronic dance music,Dance
339TSXiZVPtqrRgoE3puiv,0.686,0.782,-5.121,0.0289,0.142,3.35e-05,0.0823,0.62,109.994,electronic dance music,Electro
1ld3ibWlGwo4oBFPb6pmKk,0.809,0.807,-6.491,0.115,0.0462,0.155,0.676,0.635,126.031,electronic dance music,Electro
42iaZygYmdyZomAtvPoxG1,0.563,0.81,-2.923,0.0525,0.00512,0.0,0.11,0.47,129.978,electronic dance music,Electro
0VffaI2jwQknRrxpECYHsF,0.723,0.806,-4.989,0.0521,0.00666,0.876,0.276,0.539,124.976,electronic dance music,Electro
6NZbOMIeTWxFiB0KkZ70f7,0.714,0.77,-8.481,0.0517,0.0771,0.132,0.108,0.344,123.988,electronic dance music,Dance
5b8TXX2rT4BmF16oaP8aSX,0.753,0.725,-5.57,0.0452,0.0644,0.000132,0.198,0.304,124.018,electronic dance music,Electro
1tnSEvpRqv3m6nl6gzS4ev,0.618,0.785,-7.08,0.0396,0.0546,0.0314,0.643,0.517,127.978,electronic dance music,Rock
3fWKUqt1i6CsEBLuB8IWJ1,0.574,0.757,-3.63,0.267,0.327,0.000181,0.341,0.469,125.917,electronic dance music,Electro
4bJpdznQXEeRE1xrn69nMU,0.478,0.862,-3.156,0.0588,0.017,2.62e-06,0.501,0.45,174.021,electronic dance music,Dance
1Um42d1EGAvKP30xI0t9y0,0.691,0.946,-2.811,0.0437,0.00708,0.0736,0.301,0.387,128.94,electronic dance music,Electro
1PoVcD9KgBkxmAQy1dbr7G,0.733,0.881,-4.856,0.0457,0.00793,0.0146,0.198,0.797,124.009,electronic dance music,Electro
3sz8Gn0fOmXmyXOaPSWBJ9,0.566,0.851,-3.799,0.0389,0.0736,1.07e-06,0.198,0.511,126.046,electronic dance music,Dance
4tKhJStJFAI6uXxs52jylW,0.526,0.844,-4.871,0.0693,0.0153,0.0237,0.252,0.173,150.142,electronic dance music,Electro
3tefbWx5EPFspQVsDnGSH0,0.613,0.511,-10.52,0.12,0.000754,0.000594,0.17,0.205,121.997,electronic dance music,Electro
0SeG2DCYBi4gu9aFaLyMbw,0.644,0.672,-10.506,0.0463,0.0063,0.0728,0.0966,0.122,125.988,electronic dance music,Electro
2mWsc7kD2lpFtMNndPEMOH,0.832,0.877,-4.618,0.0564,0.136,0.000341,0.232,0.679,124.005,electronic dance music,Dance
7nIQGpX0Z4i4hwUajDymYi,0.639,0.688,-6.199,0.0266,0.0042,0.0,0.185,0.41,100.01,electronic dance music,Dance
5gcDJgjaTUm28cz2fF1vCk,0.411,0.899,-2.975,0.102,0.0113,0.132,0.535,0.169,164.936,electronic dance music,Electro
4c0bQ6itmzAJ4DYlIdCmpm,0.736,0.882,-4.814,0.241,0.0887,0.00011,0.134,0.509,126.077,electronic dance music,Electro
3GT2CBmJWIEdCpHiB31WYK,0.535,0.906,-4.699,0.0353,0.0202,0.000715,0.0886,0.732,126.012,electronic dance music,Electro
4XoQykhNqEIqlEA6CuwsqL,0.829,0.695,-5.561,0.0473,0.000956,0.178,0.112,0.369,102.018,electronic dance music,Electro
46TBhSEKO4HGKxnaumaDOl,0.725,0.729,-6.027,0.0551,0.0612,0.612,0.536,0.463,150.057,electronic dance music,Electro
2ZEq4HT450Ye9IFGPTl9qV,0.697,0.921,-4.283,0.0424,0.0946,1.9e-05,0.159,0.722,123.988,electronic dance music,Dance
4jMTSIsfNucOQmnake770S,0.827,0.819,-4.954,0.0914,0.00287,0.0469,0.305,0.604,128.018,electronic dance music,Dance
1G4TotMwW6y03mtCXkppiQ,0.835,0.916,-10.346,0.0746,0.0159,0.321,0.0467,0.829,124.0,electronic dance music,Electro
0iluFrEwVC3zqYYn9l1NjC,0.37,0.925,-3.935,0.0436,0.000716,0.000302,0.142,0.119,174.998,electronic dance music,Dance
0VxLiCIdFDL9vCvTY0tnB7,0.541,0.235,-26.706,0.0379,5.86e-05,0.884,0.44,0.298,120.022,electronic dance music,Dance
3CuE0SXDnJJbEsIt4Xijsn,0.603,0.953,-3.838,0.0382,0.084,0.878,0.308,0.209,128.031,electronic dance music,Electro
6UjCVZIwjnElTe8zobRtZz,0.706,0.905,-7.251,0.0423,0.0682,0.17,0.0502,0.614,124.985,electronic dance music,Dance
3z68s1UXljcYHsvrvbaSJP,0.645,0.883,-4.975,0.0355,0.0269,0.0,0.166,0.478,125.037,electronic dance music,Dance
0S2O3Yl2FTehBO69y28M6o,0.699,0.713,-7.427,0.0299,0.0696,0.602,0.111,0.961,100.056,electronic dance music,Electro
5O2NnWOOZH0rJn78FioQXT,0.664,0.815,-4.919,0.0458,0.00279,0.0706,0.223,0.276,130.044,electronic dance music,Dance
1DegLHuaZdLmOvhUgsNV9I,0.624,0.939,-2.449,0.071,0.00102,0.00559,0.131,0.391,160.014,electronic dance music,Dance
2o6qytmSkn2eUfqdqVqrEx,0.717,0.746,-4.24,0.144,0.157,3.11e-05,0.146,0.301,114.902,electronic dance music,Electro
0b02ZHphmQGm0lRtHyDDTH,0.593,0.852,-3.609,0.119,0.292,0.000162,0.141,0.397,125.928,electronic dance music,Dance
7vkYxrgnaDI2msfLHFZSc4,0.804,0.848,-6.903,0.0699,0.000165,0.845,0.113,0.36,121.786,electronic dance music,Electro
7lTXqBURoqMMzzYA6fFF6s,0.822,0.867,-4.478,0.25,0.183,8.33e-06,0.131,0.48,116.011,electronic dance music,Electro
4dJYjR2lM6SmYfLw2mnHvb,0.721,0.834,-6.444,0.082,0.264,0.0,0.118,0.354,121.887,electronic dance music,Dance
6CTIKJor2QXkIEOVEtsxjN,0.85,0.638,-11.258,0.15,0.00239,0.00827,0.0499,0.473,121.98,electronic dance music,Electro
2lK40LtW4w2I82UhXR9qxn,0.755,0.966,-3.066,0.0476,0.00986,0.257,0.548,0.457,127.983,electronic dance music,Electro
4ESPuOrSsRcBISzcMlzmY5,0.717,0.716,-5.485,0.0432,0.0421,0.000467,0.0699,0.206,125.064,electronic dance music,Dance
08VinCa6iJ9bz9Eoi26qw8,0.618,0.545,-7.111,0.0455,0.0874,0.0,0.13,0.197,86.006,electronic dance music,Electro
7FOfZcfaOHYcCyDYHpArQp,0.57,0.738,-6.653,0.0954,0.244,0.00127,0.154,0.265,127.926,electronic dance music,Electro
2FIa0Zmilui8GpApF3vF1a,0.694,0.704,-6.101,0.13,0.015,2.39e-05,0.0931,0.377,122.984,electronic dance music,Pop
